sample-id,depth-1_iter-1,depth-1_iter-2,depth-1_iter-3,depth-1_iter-4,depth-1_iter-5,depth-1_iter-6,depth-1_iter-7,depth-1_iter-8,depth-1_iter-9,depth-1_iter-10,depth-1112_iter-1,depth-1112_iter-2,depth-1112_iter-3,depth-1112_iter-4,depth-1112_iter-5,depth-1112_iter-6,depth-1112_iter-7,depth-1112_iter-8,depth-1112_iter-9,depth-1112_iter-10,depth-2223_iter-1,depth-2223_iter-2,depth-2223_iter-3,depth-2223_iter-4,depth-2223_iter-5,depth-2223_iter-6,depth-2223_iter-7,depth-2223_iter-8,depth-2223_iter-9,depth-2223_iter-10,depth-3334_iter-1,depth-3334_iter-2,depth-3334_iter-3,depth-3334_iter-4,depth-3334_iter-5,depth-3334_iter-6,depth-3334_iter-7,depth-3334_iter-8,depth-3334_iter-9,depth-3334_iter-10,depth-4445_iter-1,depth-4445_iter-2,depth-4445_iter-3,depth-4445_iter-4,depth-4445_iter-5,depth-4445_iter-6,depth-4445_iter-7,depth-4445_iter-8,depth-4445_iter-9,depth-4445_iter-10,depth-5556_iter-1,depth-5556_iter-2,depth-5556_iter-3,depth-5556_iter-4,depth-5556_iter-5,depth-5556_iter-6,depth-5556_iter-7,depth-5556_iter-8,depth-5556_iter-9,depth-5556_iter-10,depth-6667_iter-1,depth-6667_iter-2,depth-6667_iter-3,depth-6667_iter-4,depth-6667_iter-5,depth-6667_iter-6,depth-6667_iter-7,depth-6667_iter-8,depth-6667_iter-9,depth-6667_iter-10,depth-7778_iter-1,depth-7778_iter-2,depth-7778_iter-3,depth-7778_iter-4,depth-7778_iter-5,depth-7778_iter-6,depth-7778_iter-7,depth-7778_iter-8,depth-7778_iter-9,depth-7778_iter-10,depth-8889_iter-1,depth-8889_iter-2,depth-8889_iter-3,depth-8889_iter-4,depth-8889_iter-5,depth-8889_iter-6,depth-8889_iter-7,depth-8889_iter-8,depth-8889_iter-9,depth-8889_iter-10,depth-10000_iter-1,depth-10000_iter-2,depth-10000_iter-3,depth-10000_iter-4,depth-10000_iter-5,depth-10000_iter-6,depth-10000_iter-7,depth-10000_iter-8,depth-10000_iter-9,depth-10000_iter-10,Location
sample-1,1,1,1,1,1,1,1,1,1,1,243,247,257,237,245,249,255,251,257,255,304,307,313,305,296,300,301,312,298,301,317,324,318,328,326,321,320,318,331,320,327,336,332,326,331,335,333,335,333,332,339,335,340,337,338,338,340,337,340,337,339,342,345,341,342,339,340,341,339,344,343,339,342,343,345,345,342,342,342,343,343,343,343,342,343,344,344,345,342,342,347,346,346,345,347,346,347,345,345,346,Kistwar
sample-10,1,1,1,1,1,1,1,1,1,1,333,339,342,339,326,338,345,344,337,331,418,425,422,430,427,419,416,423,420,419,466,455,463,474,462,474,460,471,467,471,475,482,485,473,468,483,485,485,475,482,489,493,488,490,495,492,497,494,496,494,502,496,497,498,497,499,496,501,501,499,500,508,510,500,507,500,505,505,507,507,507,512,511,504,510,509,509,511,508,510,512,514,511,511,510,511,508,514,511,507,Wuyan
sample-2,1,1,1,1,1,1,1,1,1,1,305,320,319,306,302,316,310,333,308,321,409,409,407,409,407,404,415,407,419,404,461,445,453,456,451,444,458,458,452,459,483,486,480,484,482,483,480,480,472,478,497,492,498,501,499,499,503,494,494,499,508,515,504,511,511,510,505,515,500,502,517,517,513,517,524,521,515,516,513,516,525,521,520,527,526,527,528,517,520,522,524,527,530,525,527,528,527,528,525,528,Alichbagh
sample-3,1,1,1,1,1,1,1,1,1,1,439,426,449,441,449,440,467,440,442,461,610,606,603,589,608,598,595,599,609,614,681,690,680,648,681,668,675,675,682,671,706,713,710,707,727,726,707,709,729,712,743,744,751,744,752,741,740,743,752,737,760,750,759,758,756,760,765,758,762,760,771,772,768,771,771,771,772,769,774,770,778,777,782,780,769,780,783,782,779,775,781,787,783,785,786,783,788,787,785,784,Gullandar
sample-4,1,1,1,1,1,1,1,1,1,1,218,227,246,237,234,231,223,236,217,227,315,305,322,312,330,304,311,306,313,307,353,360,366,353,365,360,363,351,354,364,380,380,387,390,375,392,377,380,391,391,401,397,403,398,403,388,402,401,394,395,407,415,405,403,403,417,410,402,399,414,416,415,418,421,418,419,428,417,416,410,422,425,414,422,419,425,425,419,430,424,429,422,427,425,423,425,427,426,431,431,Hatiwara
sample-5,1,1,1,1,1,1,1,1,1,1,294,290,281,276,280,281,292,283,306,285,361,355,367,361,372,362,358,351,355,374,391,401,388,402,397,382,388,401,395,392,415,414,413,409,415,409,418,414,411,415,420,428,421,423,423,420,422,424,428,418,434,434,430,429,434,427,427,430,426,430,428,436,432,431,433,435,431,431,433,429,435,434,437,432,434,435,437,433,436,437,435,439,439,437,439,435,440,437,435,436,Patalbagh_Upper
sample-6,1,1,1,1,1,1,1,1,1,1,303,306,306,296,304,297,290,298,303,294,367,361,366,344,351,356,357,353,364,356,380,380,388,382,381,378,389,379,384,384,396,395,389,393,395,399,393,395,392,394,398,401,392,400,397,397,396,404,401,400,400,401,403,408,400,402,400,401,401,406,405,404,405,405,405,407,402,404,406,402,408,406,407,406,407,406,406,407,404,405,409,407,404,409,405,405,403,407,406,408,Chandhara
sample-7,1,1,1,1,1,1,1,1,1,1,334,322,340,341,329,334,336,332,316,333,436,422,423,424,435,428,421,428,429,430,484,475,478,475,493,484,479,488,477,494,497,510,501,515,512,509,503,515,505,517,531,521,525,528,527,526,513,520,535,527,535,539,534,533,536,542,528,531,533,539,545,547,537,543,543,549,546,545,540,538,548,545,555,548,554,548,544,550,545,549,557,556,550,548,550,560,552,549,560,550,Patalbagh_Lower
sample-8,1,1,1,1,1,1,1,1,1,1,242,267,262,262,250,268,256,261,266,243,319,345,321,325,330,330,325,340,341,321,369,363,352,374,359,356,361,363,369,357,389,381,379,382,372,378,383,388,382,385,386,398,391,396,389,388,388,398,390,389,394,393,401,407,392,400,403,395,399,398,401,405,403,401,399,405,403,403,401,405,406,404,408,406,405,403,408,402,405,403,407,409,408,397,411,410,408,408,411,407,Bengaluru
sample-9,1,1,1,1,1,1,1,1,1,1,434,420,431,437,435,428,448,434,448,431,578,599,567,593,609,562,590,588,594,565,648,656,641,636,649,651,656,651,654,653,704,700,696,693,692,694,702,707,700,700,725,724,731,730,727,729,728,721,722,729,749,748,743,739,750,735,748,753,745,747,751,746,761,759,761,760,755,764,754,754,765,767,763,770,764,766,755,763,754,765,775,771,774,778,772,781,779,773,774,771,Samboora
