	sample-1	sample-10	sample-2	sample-3	sample-4	sample-5	sample-6	sample-7	sample-8	sample-9
sample-1	0.0	0.9516	0.9232	0.8711	0.7951	0.9075	0.8422	0.882	0.8824	0.8525
sample-10	0.9516	0.0	0.8898	0.8688	0.8822	0.8625	0.9439	0.8786	0.8726	0.9452
sample-2	0.9232	0.8898	0.0	0.8195	0.8637	0.6055	0.8672	0.8545	0.8248	0.8745
sample-3	0.8711	0.8688	0.8195	0.0	0.723	0.6935	0.7828	0.6515	0.622	0.7724
sample-4	0.7951	0.8822	0.8637	0.723	0.0	0.7588	0.7971	0.7571	0.4029	0.8163
sample-5	0.9075	0.8625	0.6055	0.6935	0.7588	0.0	0.8835	0.6887	0.671	0.8779
sample-6	0.8422	0.9439	0.8672	0.7828	0.7971	0.8835	0.0	0.8952	0.8476	0.6511
sample-7	0.882	0.8786	0.8545	0.6515	0.7571	0.6887	0.8952	0.0	0.6358	0.8713
sample-8	0.8824	0.8726	0.8248	0.622	0.4029	0.671	0.8476	0.6358	0.0	0.8595
sample-9	0.8525	0.9452	0.8745	0.7724	0.8163	0.8779	0.6511	0.8713	0.8595	0.0
