	sample-1	sample-10	sample-2	sample-3	sample-4	sample-5	sample-6	sample-7	sample-8	sample-9
sample-1	0	0.5337212085723877	0.6102056503295898	0.5246906280517578	0.5899479985237122	0.5834187269210815	0.520738959312439	0.5488352179527283	0.6479160785675049	0.4912363886833191
sample-10	0.5337212085723877	0	0.3201897442340851	0.3186667263507843	0.5781687498092651	0.3022681772708893	0.3263711035251617	0.3107428848743439	0.4570737481117249	0.4169921278953552
sample-2	0.6102056503295898	0.3201897442340851	0	0.3366483747959137	0.6557758450508118	0.2154326438903809	0.3134796023368835	0.3381000161170959	0.5287694931030273	0.3303278684616089
sample-3	0.5246906280517578	0.3186667263507843	0.3366483747959137	0	0.4806222319602966	0.2297646105289459	0.2880746424198151	0.1590755730867386	0.3828640878200531	0.2721444368362427
sample-4	0.5899479985237122	0.5781687498092651	0.6557758450508118	0.4806222319602966	0	0.5184282064437866	0.6075080633163452	0.5083840489387512	0.1954818218946457	0.6078864932060242
sample-5	0.5834187269210815	0.3022681772708893	0.2154326438903809	0.2297646105289459	0.5184282064437866	0	0.3629984259605408	0.1880704909563065	0.3994539976119995	0.3574129641056061
sample-6	0.520738959312439	0.3263711035251617	0.3134796023368835	0.2880746424198151	0.6075080633163452	0.3629984259605408	0	0.3484515249729156	0.5195607542991638	0.2457489669322968
sample-7	0.5488352179527283	0.3107428848743439	0.3381000161170959	0.1590755730867386	0.5083840489387512	0.1880704909563065	0.3484515249729156	0	0.3613775372505188	0.3428985774517059
sample-8	0.6479160785675049	0.4570737481117249	0.5287694931030273	0.3828640878200531	0.1954818218946457	0.3994539976119995	0.5195607542991638	0.3613775372505188	0	0.5670357942581177
sample-9	0.4912363886833191	0.4169921278953552	0.3303278684616089	0.2721444368362427	0.6078864932060242	0.3574129641056061	0.2457489669322968	0.3428985774517059	0.5670357942581177	0
